Emp ID,Last,First,Full Name,Email,Department,Location,Floor,Extension,Wing
1180,Bacata,Stevie,,,Sales,02-West 2635,,,
1110,BARRY,Adam,,,Customer Service,02-West 2018,,,
1232,Betts,Connor,,,Sales,02-West 2347,,,
1243,martinez,carlos,,,Human Resources,03-West 2764,,,
1248,Biti,Yvette,,,Sales,02-West 2589,,,
1227,BOLLER,Jim,,,Accounting,03-North 2318,,,
1230,Bui,Charlie,,,Sales,02-North 2694,,,
1162,Carlton,Tina,,,Sales,02-West 2699,,,
1001,CAROL,Joe,,,Executive,01-North 2321,,,
1224,CHAFFEE,Jim,,,Facilities,03-West 2432,,,
1203,Chairs,Samantha,,,Sales,02-West 2962,,,
1211,CHAUDRI,Uma,,,Human Resources,03-North 2134,,,
1198,CHU,Elizabeth,,,IT,01-West 2425,,,
1003,CHUNG,Eric,,,IT,03-West 2796,,,
1253,CLARK,elizabeth,,,Customer Service,02-West 2414,,,
1235,CLARK,ANNA,,,Accounting,03-West 2601,,,
1221,COLE,Sabrina,,,Customer Service,02-West 2537,,,
1186,COMUNTZIS,Janet,,,Customer Service,02-West 2286,,,
1218,DECKER,Bob,,,IT,01-North 2086,,,
1215,DESIATO,Tina,,,IT,01-North 2358,,,
1241,DONNELL,Alexandra,,,Accounting,03-West 2082,,,
1246,ELLIS,Mark,,,IT,03-West 2482,,,
1172,Fernandes,Nicholas,,,Accounting,02-North 2372,,,
1134,FERRIS,Mary,,,Sales,03-North 2392,,,
1150,FILOSA,Susan,,,Customer Service,02-West 2279,,,
1004,FLANDERS,Daniel,,,Sales,02-North 2639,,,
1239,Forrest,Leighton,,,Sales,02-North 2284,,,
1250,Gour,Phoebe,,,Sales,02-North 2910,,,
1192,Khan,Mihael,,,Sales,02-North 2294,,,
1249,SANDERS,Sean,,,Human Resources,03-West 2765,,,
1245,Staples,Radhya,,,Sales,02-North 2260,,,
1207,Song,Natasha,,,Sales,02-West 2578,,,
1244,Senome,Preston,,,Sales,02-North 2654,,,
1252,WANG,Mei,,,Executive,01-West 2783,,,
1237,Zhang,Aanya,,,Sales,02-North 2793,,,
